N,rv,rg,z,time,interaction_type,id_merger,mass_merger,id1,m1,id2,m2,id3,m3,id4,m4,r,typem,type1,type2,type3,type4,b[RSUN],vinf[km/s]
16,0.5,2,0.02,10.3610588,single-single,1693634,7.53874,226518,7.53874,13634,13.3444,-100,-100,-100,-100,0.300372,14,14,4,-100,-100,1671.39,57.5549
16,0.5,2,0.02,10.87131069,single-single,2169758,7.55881,776624,7.55881,489758,13.8713,-100,-100,-100,-100,0.375738,14,14,4,-100,-100,2360.55,34.8961
16,0.5,2,0.02,12.96441368,single-single,2096335,7.50998,427805,7.50998,416335,11.5683,-100,-100,-100,-100,0.439357,14,14,4,-100,-100,255.838,58.135
16,0.5,2,0.02,24.27344957,single-single,1984999,7.91107,1984998,7.91107,858142,9.83149,-100,-100,-100,-100,0.486309,14,14,4,-100,-100,448.46,42.5169
16,0.5,2,0.02,27.2591617,single-single,2254773,7.39169,574773,7.39169,1166925,9.3657,-100,-100,-100,-100,0.660253,14,14,5,-100,-100,113.16,55.8443
16,0.5,2,0.02,31.77474505,single-single,2004171,8.9343,1313772,8.9343,324171,8.58724,-100,-100,-100,-100,0.366161,14,14,4,-100,-100,2678.99,14.9261
16,0.5,2,0.02,39.89862037,single-single,1686821,13.7704,1686820,13.7704,1242581,7.68447,-100,-100,-100,-100,0.868459,14,14,4,-100,-100,854.979,45.551
16,0.5,2,0.02,41.07036887,single-single,1707951,7.66844,1707950,7.66844,751254,7.61768,-100,-100,-100,-100,0.950186,14,14,4,-100,-100,808.554,27.4689
16,0.5,2,0.02,43.72785344,single-single,2661647,13.0711,981647,13.0711,1622728,8.75053,-100,-100,-100,-100,0.141864,14,14,4,-100,-100,2053.91,39.498
16,0.5,2,0.02,44.48549216,single-single,2527237,7.39361,847237,7.39361,939408,7.36463,-100,-100,-100,-100,0.387635,14,14,6,-100,-100,1333.09,43.7685
16,0.5,2,0.02,80.89469359,binary-single,1867039,7.70582,1867038,7.70582,1639643,9.43959,-100,-100,-100,-100,0.164458,14,14,4,-100,-100,-100,-100
